RUN run_20251211_184218 result=death duration=248.27 level=10 xp=396 damageTaken=130
KILLS bat=162,bat_elite=4,plant=99,skeleton=143,skeleton_elite=3
PICKUPS bomb=1,chest_reward=5,chicken=1,magnet=4
LEVEL_TIMES 2@45.83,3@56.67,4@67.29,5@81.35,6@101.07,7@101.77,8@121.91,9@230.09,10@232.13
EVENT t=0.00 run_start runId=run_20251211_184218
EVENT t=2.21 kill elite=false,kind=skeleton
EVENT t=4.12 kill elite=false,kind=skeleton
EVENT t=6.50 kill elite=false,kind=skeleton
EVENT t=12.35 kill elite=false,kind=skeleton
EVENT t=14.62 kill elite=false,kind=skeleton
EVENT t=19.33 kill elite=false,kind=skeleton
EVENT t=22.94 kill elite=false,kind=skeleton
EVENT t=25.39 kill elite=false,kind=skeleton
EVENT t=27.78 kill elite=false,kind=skeleton
EVENT t=31.36 kill elite=false,kind=skeleton
EVENT t=33.77 kill elite=false,kind=bat
EVENT t=37.44 kill elite=false,kind=bat
EVENT t=38.53 kill elite=false,kind=bat
EVENT t=39.90 kill elite=false,kind=bat
EVENT t=40.99 kill elite=false,kind=bat
EVENT t=42.37 kill elite=false,kind=bat
EVENT t=43.56 kill elite=false,kind=bat
EVENT t=44.71 kill elite=false,kind=bat
EVENT t=45.77 kill elite=false,kind=bat
EVENT t=45.83 level_up level=2
EVENT t=45.83 upgrade key=fire_wand,level=1,type=weapon
EVENT t=45.90 kill elite=false,kind=skeleton
EVENT t=46.78 kill elite=false,kind=bat
EVENT t=46.91 kill elite=false,kind=bat
EVENT t=47.72 kill elite=false,kind=bat
EVENT t=48.18 kill elite=false,kind=bat
EVENT t=48.31 player_hit dmg=10,hp=90
EVENT t=48.55 kill elite=false,kind=bat
EVENT t=49.49 kill elite=false,kind=bat
EVENT t=50.49 kill elite=false,kind=bat
EVENT t=51.33 kill elite=false,kind=bat
EVENT t=51.81 kill elite=false,kind=bat
EVENT t=52.27 kill elite=false,kind=bat
EVENT t=54.06 kill elite=true,kind=bat
EVENT t=54.27 kill elite=false,kind=skeleton
EVENT t=55.08 kill elite=false,kind=bat
EVENT t=55.47 kill elite=false,kind=bat
EVENT t=55.83 kill elite=false,kind=bat
EVENT t=56.28 player_hit dmg=10,hp=80
EVENT t=56.49 kill elite=false,kind=bat
EVENT t=56.67 level_up level=3
EVENT t=56.67 upgrade key=dagger,level=1,type=weapon
EVENT t=56.77 kill elite=false,kind=bat
EVENT t=57.10 kill elite=false,kind=bat
EVENT t=57.26 player_hit dmg=10,hp=70
EVENT t=57.40 pickup kind=chest_reward
EVENT t=57.40 upgrade key=static_orb,level=1,type=weapon
EVENT t=57.41 kill elite=false,kind=bat
EVENT t=57.69 kill elite=false,kind=skeleton
EVENT t=58.53 kill elite=false,kind=skeleton
EVENT t=58.79 kill elite=false,kind=skeleton
EVENT t=59.15 kill elite=false,kind=skeleton
EVENT t=59.57 kill elite=false,kind=skeleton
EVENT t=60.06 kill elite=false,kind=skeleton
EVENT t=60.27 kill elite=false,kind=skeleton
EVENT t=60.47 kill elite=false,kind=skeleton
EVENT t=60.97 kill elite=false,kind=skeleton
EVENT t=61.26 kill elite=false,kind=bat
EVENT t=61.40 kill elite=false,kind=bat
EVENT t=61.63 kill elite=false,kind=bat
EVENT t=62.06 kill elite=false,kind=skeleton
EVENT t=62.39 kill elite=false,kind=skeleton
EVENT t=62.45 kill elite=false,kind=skeleton
EVENT t=62.79 kill elite=false,kind=skeleton
EVENT t=62.87 kill elite=false,kind=skeleton
EVENT t=63.24 kill elite=false,kind=skeleton
EVENT t=63.53 kill elite=false,kind=bat
EVENT t=64.31 kill elite=false,kind=skeleton
EVENT t=64.72 kill elite=false,kind=bat
EVENT t=64.99 kill elite=true,kind=skeleton
EVENT t=66.42 kill elite=false,kind=plant
EVENT t=66.54 kill elite=false,kind=skeleton
EVENT t=66.63 kill elite=false,kind=skeleton
EVENT t=66.74 pickup kind=chest_reward
EVENT t=66.74 upgrade key=fire_wand,level=2,type=weapon
EVENT t=67.04 kill elite=false,kind=skeleton
EVENT t=67.17 player_hit dmg=10,hp=60
EVENT t=67.29 kill elite=false,kind=bat
EVENT t=67.29 level_up level=4
EVENT t=67.29 upgrade key=heavy_hammer,level=1,type=weapon
EVENT t=67.40 kill elite=false,kind=skeleton
EVENT t=67.54 kill elite=false,kind=skeleton
EVENT t=68.18 kill elite=false,kind=skeleton
EVENT t=68.36 kill elite=false,kind=skeleton
EVENT t=68.47 kill elite=false,kind=skeleton
EVENT t=68.74 kill elite=false,kind=skeleton
EVENT t=69.04 kill elite=false,kind=bat
EVENT t=69.32 kill elite=false,kind=skeleton
EVENT t=69.40 kill elite=false,kind=skeleton
EVENT t=69.70 kill elite=false,kind=skeleton
EVENT t=69.89 kill elite=false,kind=skeleton
EVENT t=70.17 kill elite=false,kind=skeleton
EVENT t=70.24 kill elite=false,kind=skeleton
EVENT t=70.28 kill elite=false,kind=skeleton
EVENT t=70.74 kill elite=false,kind=skeleton
EVENT t=71.03 kill elite=false,kind=skeleton
EVENT t=71.09 kill elite=false,kind=skeleton
EVENT t=71.63 kill elite=false,kind=plant
EVENT t=72.00 kill elite=false,kind=skeleton
EVENT t=72.31 kill elite=false,kind=skeleton
EVENT t=72.52 kill elite=false,kind=bat
EVENT t=72.75 kill elite=false,kind=bat
EVENT t=73.53 kill elite=false,kind=skeleton
EVENT t=73.67 kill elite=false,kind=skeleton
EVENT t=73.68 kill elite=false,kind=skeleton
EVENT t=73.72 kill elite=false,kind=skeleton
EVENT t=73.92 kill elite=false,kind=skeleton
EVENT t=74.20 kill elite=false,kind=skeleton
EVENT t=74.45 kill elite=false,kind=bat
EVENT t=74.91 kill elite=false,kind=skeleton
EVENT t=75.46 kill elite=false,kind=bat
EVENT t=75.54 kill elite=false,kind=skeleton
EVENT t=75.70 kill elite=false,kind=skeleton
EVENT t=75.79 kill elite=false,kind=skeleton
EVENT t=75.95 kill elite=false,kind=skeleton
EVENT t=76.28 kill elite=false,kind=skeleton
EVENT t=76.41 kill elite=false,kind=skeleton
EVENT t=76.72 kill elite=false,kind=skeleton
EVENT t=77.48 kill elite=false,kind=bat
EVENT t=77.70 kill elite=false,kind=skeleton
EVENT t=78.02 kill elite=false,kind=skeleton
EVENT t=78.29 kill elite=false,kind=skeleton
EVENT t=78.78 kill elite=false,kind=bat
EVENT t=78.88 kill elite=false,kind=skeleton
EVENT t=79.30 kill elite=false,kind=skeleton
EVENT t=79.62 kill elite=false,kind=skeleton
EVENT t=80.12 kill elite=false,kind=skeleton
EVENT t=80.57 kill elite=false,kind=skeleton
EVENT t=80.89 kill elite=false,kind=skeleton
EVENT t=81.29 kill elite=false,kind=bat
EVENT t=81.35 level_up level=5
EVENT t=81.35 upgrade key=boots,level=1,type=passive
EVENT t=81.63 kill elite=false,kind=skeleton
EVENT t=81.86 kill elite=false,kind=skeleton
EVENT t=82.04 player_hit dmg=10,hp=50
EVENT t=82.11 kill elite=false,kind=bat
EVENT t=82.75 kill elite=false,kind=skeleton
EVENT t=83.08 kill elite=false,kind=skeleton
EVENT t=83.16 kill elite=false,kind=skeleton
EVENT t=83.59 kill elite=false,kind=bat
EVENT t=83.80 kill elite=false,kind=bat
EVENT t=84.93 kill elite=false,kind=plant
EVENT t=85.28 kill elite=false,kind=skeleton
EVENT t=85.57 kill elite=false,kind=skeleton
EVENT t=85.80 kill elite=false,kind=skeleton
EVENT t=86.32 kill elite=false,kind=plant
EVENT t=86.51 kill elite=false,kind=bat
EVENT t=86.72 kill elite=false,kind=skeleton
EVENT t=86.89 kill elite=false,kind=skeleton
EVENT t=87.24 kill elite=false,kind=skeleton
EVENT t=87.41 kill elite=false,kind=skeleton
EVENT t=87.45 kill elite=false,kind=skeleton
EVENT t=87.59 kill elite=false,kind=skeleton
EVENT t=87.62 kill elite=false,kind=skeleton
EVENT t=87.89 kill elite=false,kind=skeleton
EVENT t=88.44 kill elite=false,kind=skeleton
EVENT t=88.47 kill elite=false,kind=skeleton
EVENT t=88.81 kill elite=false,kind=skeleton
EVENT t=89.17 kill elite=false,kind=skeleton
EVENT t=89.33 kill elite=false,kind=skeleton
EVENT t=89.62 kill elite=false,kind=bat
EVENT t=90.02 kill elite=false,kind=skeleton
EVENT t=90.11 kill elite=false,kind=skeleton
EVENT t=90.33 kill elite=false,kind=skeleton
EVENT t=90.88 kill elite=false,kind=skeleton
EVENT t=91.34 kill elite=false,kind=skeleton
EVENT t=91.62 kill elite=false,kind=skeleton
EVENT t=91.77 kill elite=false,kind=bat
EVENT t=92.11 kill elite=false,kind=bat
EVENT t=92.77 kill elite=false,kind=bat
EVENT t=93.74 kill elite=false,kind=plant
EVENT t=93.84 kill elite=false,kind=bat
EVENT t=94.25 kill elite=false,kind=skeleton
EVENT t=95.30 kill elite=false,kind=skeleton
EVENT t=95.95 kill elite=true,kind=skeleton
